text,label
"ugly , stupid!",1
"kill !",1
"loser",1
"hate",1
"Terrorist",1
"fucking hate",1
"abuse",1
"stupid",1
"idiot",1
"cunt",1
"nigger",1
"whore",1
"slut",1
"dick",1
"motherfucker",1
"shit",1
"faggot",1
"slut",1
"asshole",1
"pissed",1
"wanker",1
"moron",1
"Fuck!",1
"Die bitch!",1
"bastard",1
"bitch",1
"die",1
"rape",1
"rapist",1
"🖕",1
"🖕🏼",1
"🖕🏻",1
"🖕🏽",1
"🖕🏾",1
"🖕🏿",1
"🤬",1
"fuckboy",1
"shithead",1
"asswipe",1
"saavu",1
"sethuru",1
"adangommala",1
"Otha",1
"Gomma",1
"olu",1
"punda",1
"soothu",1
"poolu",1
"oombu",1
"Ungoya",1
"Thevudiya",1
"koodhi",1
"Thayoli",1
"mairu",1
"baadu",1
"sunni",1
